id,sentiment,text
214142,0,@AgentBooth @DrTBrennan miss you two the most. Always making me laugh  Come home soon.
1596308,4,@UnravelMeDesign have you tried the interntl delights instant cappucinos? those are gooood...ease you into it.   i sound like a Rx pusher!
730582,0,"@Melza28 lol sounds like my dad, yesterday i felt like some dark choc so he went to the shop and bought every choc except dark "
697787,0,exactly one month of brake left! 
1025855,4,@262RUNR thanks for the follow friday love  any fun plans for the long weekend besides being at the marathon?
1188835,4,"my cousin has the greatest girlfriend ever, she's so adorable. i love herrr! "
1436719,4,"@rishh i know, its just something thats puzzled me a bit, lol. Hows your study going? gl on your exams bb "
174484,0,I want to change my twitter name but I can't think of anything 
1371477,4,My interweb took a crap. This means nothing really. I can still tweet! 
423727,0,come on... drop by 1  58. twitter.com
1090545,4,@pinkpebs aww Thanks for the #followfriday hope you are doing well &amp; are prepped for some sunshine 
1278600,4,new post! comment  http://nazikischeryl.blogspot.com
1530720,4,"@Attics2Oblivion Thanks  Just watched it, was amazing! x"
863654,4,@juhiroddam yeah i was scared about something and it turned out to be not-worrying. 
901929,4,@rosehwang U R &quot;happiness pollinator&quot; 4 shizzle.   Good friend you are.. I am smiling! 
657972,0,Wishing I was outside instead of working inside packaging. 
1345096,4,"@ScruffyPanther Haha but its notttttt, its carrying it  bless. xxx"
801409,4,@MistyDavies Glad I could help.  Now we just need barcode scanners.
280590,0,@Amazing92 Twitter is a frikkin mess!I cant change NUTTIN!!!  i want anotha backgroun n color design for TWO WEEKS NOW!ARRGHH
169236,0,@nellcon I cannot  I have a full day of activities lol
799766,0,"have to get up at 5 pm. 2mmorrow, great isn't it? have to do it probably the whole next week to "
1446847,4,@borisbozic don't think u can find jeans 4 ur size ;) how is your canboring trip going? Come back with some gift 
490769,0,@KenPishna LOL. Been a long time since it's been in Colorado. I'm on waiting list for season tickets at new arena. May only go 1x a year 
245291,0,At home.. Thinking abt work tomorrow. @girisrini is already on the way to Cbe in the train. Another mnth b4 i see him.. 
1113010,4,Hanging out with my bro.. Can't wait for the BGT Finale today !! 
753485,0,I am very cold! I'm freezing 
940383,4,just got in from work. hitting the hay to harry 
1379110,4,Early morning jogging to start the day.then back to bed 
1588281,4,on my way to @fatmancanfly's home and the traffic is very friendly. love it 
423319,0,@Jon_Favreau I was watching 'Friends' on DVD with the episodes you were in...too bad things didn't work out between 'Monica' and 'Pete'. 
214832,0,Watching the Cubs... wishing I were in Chicago... I guess I'll just do laundry and clean the house 
1097050,4,the softest thing in the universe overcomes the hardest. every. single. time. i will post a new video when the time is right 
361811,0,Rain !!  Off To See Matty ....  ;) x
1222622,4,@ditlev awesome job you are doing with vps.net love the service. and best of luck to you all 
1489377,4,526 updates 
1175701,4,"http://twitpic.com/6c4nf - My Bichon Frise, Daisy Mae  She's a cutie."
1078243,4,chillin with 2 of my divaz piggin out ... lords knows my slim ass needs it .... once in a while. 
567550,0,i miss my buddy already 
1238803,4,"@sylviapilawa why limit your story to 140 ch. Tell all what is annoying you at www.iamsoannoyed.com ,it will help relieve your stress "
799799,0,@angelitapita i know!! i didnt know til i saw these tweets! its soo sad 
1420716,4,@AngeliqueImani perfect  thanx hunny!
1363288,4,"woke up to hear the Chicago soundtrack playing, Ian bellowing along (almost in time) and Missy crying in distress at his caterwauling! "
1324417,4,@Jason_Manford  Get a Wii fit  
1340240,4,@CoachIyabo Sent you a DM about my schedule!  THANKS!
1427488,4,the perks of graduation = now banking around $2.000. thanks family and friends of my mom! cant wait to go out tonight. i'm happy and tan 
122776,0,are they really my friends?not sure anymore... 
468915,0,spelling errors!Anywho I'm going to sleep for a little since I won't be able to cause of the pens parade the noise from people 
419235,0,@BrwnSkinzFinest smh. Should of came to see me. 
257207,0,"Had a terrible dream last night  I blame my little friend. She told me to dream about a boy, and I did but he was an ass hole to me!! "
1193093,4,"@kourtnie Not even. In fact, going to Toronto is leaving me so broke that I think I will have to live on ramen noodles for a while! "
1358161,4,felt useful last night.  It's not much but it is a start. ;)
1279344,4,hehe the lil boy from UP movie is so ADORABLE!!  haha the doggie..  said watashiwa.. XD
1146049,4,@ShimmerGlitzGrl OH my I didn't see you commented at me. Oooops. Thanks for checkin it out! 
1305301,4,"@crazycakes Thanks I have so many great old outfits that are always too dressy for anywhere, so I've started doing photo shoots in them. "
1338278,4,Sure she will find what she wants  http://twitter.com/AshleyDickerson/status/1951487119
1276629,4,@debbylovespr awe thanks sweetness    &lt;3
1384997,4,@visnya How do you know you talked...? 
212353,0,"mum needs computer, so i'm gonna fuck off and read a book, would listen to DPad, but my ipod is synced to my comuter, not this one "
1177773,4,Going shopping 
1187598,4,@ashleytisdale good look ash!! i love you so much  please come to argentina someday... XOXO
461239,0,@beatbackbones shes coming back next week monday. dude you know she went to my house pa to get her phone :| SHE GAVE ME SWINE GERMS 
160133,0,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes. 
1139602,4,Birthday dinner with my grandma and now we're watching the magic game! Woo hoo 
417102,0,People really need to stop leaving my kitty out 
374848,0,and yet i still have to go to the other room to hold the buttons.. Plan fail  xD
153693,0,lonely at work. . . . 
1462834,4,Watch Drag Me to Hell Online my friend  http://bit.ly/155eBc
1135087,4,iamdiddy-&quot;I think imma put on a shiny suit today and fly around the world and spread positivity!!!! SHINY SUIT MAN!!&quot; Lol   lol okay diddy
1255403,4,went to hunington beach and a wave took me by suprise and pulled me under i thought i waz scary but my mom waz the one that freaked out! 
1117443,4,"@jschuller I'm going to do a separate WP install to use Folio Elements for my business portfolio. I'll share when I mod it, "
180313,0,I want ice cream and cake 
701148,0,Why do movies always kill off the dogs? 
926602,4,Arsenal 1 Chelsea 4. Good Sunday 
58095,0,"This entire thing has been absurd. At least t-cot fights about money and power.   Oh, the darks joys in being a republican  #p2"
3120,0,"Was going to make a site updates twitter account but nahh, it won't work "
1372169,4,my tongue hurts and i talk funny  but my parents haven't found out yet  
1578067,4,@rinajlee I've already lost 2 umbrella's so far this winter. And it's just started. 
940868,4,@babygirlparis http://twitpic.com/4rm5r - so so sweett   u 2 are the best couple 
72786,0,R.I.P Adam Cook  D':  and a moment of silence...
529598,0,@princessparadox that is the problem!! there isnÂ´t any guy.. 
499672,0,"@SpacemanAlpha I'm worried because the Baha'i's are usually targeted anyway, so it makes it even more tense "
942640,4,juice diet... ur havin a bubble i dont care if i get fat i luv myself sum foooood  big is beautiful baby!!
1240514,4,I'm silly....but happy...quite silly though 
1320513,4,@tommcfly but I'm glad you guys enjoyed this trip as much as we did 
1329275,4,@TariAkpodiete Sweet ...Saving the world one garbage bag at a time ... 
1400696,4,@PatParslow poor cat 
1124893,4,@SmackDamage i'm okay. I had a super intense argument with my girlfriend and couldn't calm down. But we're okay now. Thanks 
1087095,4,"@HalfAmazin89 ugh my night was just wack for the most part, but some people are annoying me at the moment. that's all  how's ur nite?"
343785,0,i don't know what to do!  stupid talk. 
80058,0,@Aellai13 i know  they shall go die in a hole together 
1163176,4,@MGChislett New Zealand show!!! please? 
229259,0,"ok i can read mentions now. thx to @ute, @CemB, @derzornige and @thatsgood. but still now tweets form you "
986785,4,Feeling confident aboutmaths 
1350130,4,"Today was all sorts of crazy/fun: enlisting for classes, Polu Kai/Serendra, Distillery for a bit and Jaime's house. And the rain! "
1119216,4,"@she_writes Heck, if you were around here, you could go outside and it would be dry within 2 minutes. "
312752,0,It's sunny today. I'm working today. Grrr 
1357093,4,@Blanka245 Here B!!   What's Up?
68450,0,"whoaaa. watching taking five brought back some good memories, i really miss eric dill.  awe my first band crush. so cute. well its bed ..."
993831,4,@BirdGuides It wasn't quite that hurried. It's probably the greenfinch that @bigcam01 suggested. I really need to learn these bird calls 
1427429,4,"@fidus Ok, I'll block you.  Sorry for adding you again. "
39346,0,@timmninety146 hey Lisa said she's crying and you need to bring her a cig 
921360,4,@arlocordova no! htese are the cheap ones from the lata!!! bwahahaahaha!!! 
635709,0,needs to put the bub to bed for a sleep! he verrry GRUMPY 
345049,0,Done dealing with Austrian bureaucracy (until Friday) Only three got stamps! Took 45 minutes at the post office to get my mail forwarded. 
1101878,4,"Driving to richmond, to the tune of greenday "
1274310,4,I love looking through old songs. 
645781,0,epic fail whale. 
1246422,4,"@Maariiaan Thats it, its not about Rank its about the player "
443361,0,@caitlingray It's from Topshop right? It's not on the website anymore 
1188322,4,@OzAtheist doesn't have enough to do 
1362313,4,http://twitpic.com/6perw - found my new writing retreat in Dallas last night 
1328638,4,@davethamonsta will follow u if u follow me  lol oh and follow @PARKPLACEMTG he has great quotes
223034,0,no one is online 
1495946,4,Riding around in lacis new car!!! Its so cute! 
1479846,4,@BDdotCOM haha well thats good 
1432916,4,Not watching the game in real-time but love the score  #redwings
1570802,4,"@peterfacinelli I love you in all stuff I've seen u in, but to me you'll always be Mike Dexter. Aman-duh! Ur a great Carlisle too. "
1418550,4,Shopping at tango with my mom. Hit me up if you're here too! 
685846,0,miss my superfast internet!!  get it back end of july WOOHOO!!!
251840,0,They had what it takes to make it through forever. But why did they have to end it?! Makes me sad.  GOOD NIGHT Ã¼
745027,0,@kat_n   not good.
1006890,4,To My NEW Twitter Followers: Go see my GIVEAWAY on 3 Boys and a Dog blog to see how you can WIN one of my photos!  http://snipr.com/i6d45
1055094,4,"@jetskier79 haha, oh well there is that  but for %50 off, why not "
86738,0,"Bk from Norfolk &amp; in bd w/ rlly bad cold, couldn't giv parents big hug they deserved as scared of passing on. Hubby had 2 do all drive hm "
322412,0,@SamBennington  Did you write your mail 2day?  I haven't   Miss you too
1544161,4,"@NicoleVicious I'm doing overall well today, with sprinkles of concern about things outside my control... How're you? "
523043,0,I burnt the rice. 
251267,0,My friend disappeared.  I'm sure there's a good reason for it though.
1576169,4,im ready for a bf. srsly. anyway...new belgium sunshine wheat is yummmmmmy.  night night after this ep of Angel.
1493733,4,Getting ready for our date 
10698,0,@liamwong Cheers for the link Liam..Yeah I've been trying DaFont all afternoon but it seems to be offline at the moment 
256273,0,i missed u! o &amp; riley doesn't like me anymore! 
1371041,4,Parenting -&gt; Keeping Kids Safe On the Internet http://bit.ly/2pmTO  Good Article 
1074912,4,And Giles is a pretty wicked singer too 
